Company,Model,Year,Mileage(mi),Dealer Name,Rating,Review Count,Color,MPG,Fuel Type,Transmission,Price
Mercedes-Benz,LT,2020,32.108,NexGen Motors,2.8,16.0, Summit White ,14–21,Gasoline ,6-Speed Automatic,45.0
Mercedes-Benz, Sport,2019,14.943,,,, White ,22–28,Gasoline Fuel ,6-Speed A/T,42.0
Mercedes-Benz,LT,2020,53.749,Velocity Auto Sales,3.9,179.0, Onyx Black ,14–21,Gasoline ,6-Speed Automatic,52.995
Mercedes-Benz,mited,2010,180.0,,,, White ,19–27,Gasoline Fuel ,A/T,13.95
Mercedes-Benz,,2018,31.2,,,, Gray ,21–29,Gasoline Fuel ,8-Speed A/T,47.499
Mercedes-Benz,Base,2016,61.95,CarMax King of Prussia - Now offering Curbside Pickup,5.0,3.0, Majestic White ,19–26,Gasoline ,Automatic CVT,29.998
Mercedes-Benz,ette Base,2002,38.568,Knighton's Auto Services,4.8,3.0, White ,–,Gasoline ,4-Speed Automatic,23.995
Mercedes-Benz,X-L,2020,26.025,CarMax Savannah - Now offering Curbside Pickup,1.8,3.0, Gray ,30–38,Gasoline ,Automatic CVT,31.998
Mercedes-Benz,SXT,2016,134.734,AutoNation USA Houston,3.9,120.0, Billet Clearcoat ,19–31,Gasoline ,8-Speed Automatic,16.493
Mercedes-Benz,COBOOST-BACKUP CAMERA-BLUETOOTH-REMOTE KEYLESS EN,2017,68.985,Sterling McCall Chevrolet,4.2,806.0, Lightning Blue Metallic ,21–30,Gasoline ,6-Speed Automatic,23.4
Mercedes-Benz,Standard Range,2019,16.14,,,, Gray ,0–0,Electric Fuel System ,A/T,71.2
Mercedes-Benz, 2.5i Premium,2019,12.377,Cherry Hill Chrysler Dodge Jeep RAM Kia Mitsubishi,4.1,2.388, Abyss Blue Pearl ,25–32,Gasoline ,Automatic CVT,27.995
Mercedes-Benz,rrera GTS,2018,19.008,Porsche Plano,4.8,1.134, Lava Orange ,18–26,Gasoline ,7-Speed Automatic with Auto-Shift,129.995
Mercedes-Benz,nium,2019,28.88,,,, White ,22–29,Gasoline Fuel ,A/T,24.5
Mercedes-Benz,ter Banks,2021,10.7,,,, White ,18–18,Gasoline Fuel ,10-Speed A/T,63.0
Mercedes-Benz,.0t LUXE,2018,41.449,EchoPark Automotive Louisville Delivery Center,,0.0, Liquid Platinum ,19–27,Gasoline ,7-Speed Automatic,29.789
Mercedes-Benz,LT,2020,69.909,Velocity Auto Sales,3.9,179.0, Summit White ,14–21,Gasoline ,6-Speed Automatic,48.995
